date,Thailand,Myanmar,Cambodia,Vietnam,P_Malaysia,Lao_PDR
2019-03-12,801,1015,490,148,25,1243
2019-03-13,560,592,332,216,15,1312
2019-03-14,185,423,126,150,3,923
2019-03-15,89,606,79,86,14,400
2019-03-16,109,835,126,51,18,608
2019-03-17,243,1264,182,82,69,982
2019-03-18,197,613,326,167,41,916
2019-03-19,82,370,248,169,32,881
2019-03-20,44,501,123,108,11,471
2019-03-21,168,935,55,96,13,758
2019-03-22,354,2002,139,167,8,1060
2019-03-23,431,1486,187,181,17,1696
2019-03-24,160,687,27,40,16,1050
2019-03-25,63,921,4,36,2,767
2019-03-26,61,1227,72,25,0,825
2019-03-27,74,1513,136,82,2,372
2019-03-28,170,1173,95,106,6,831
2019-03-29,182,1155,158,131,5,1090
2019-03-30,40,702,133,61,0,122
2019-03-31,140,966,11,37,0,1267
2019-04-01,229,1176,10,43,0,711
2019-04-02,277,1531,37,83,0,1094
2019-04-03,130,674,54,57,1,825
2019-04-04,57,550,9,62,5,234
2019-04-05,40,878,13,60,0,242
2019-04-06,48,1332,20,79,2,314
2019-04-07,86,998,63,43,11,520
2019-04-08,188,721,55,72,9,761
2019-04-09,93,494,48,169,4,1151
2019-04-10,89,698,45,195,0,1104
2019-04-11,99,765,29,147,0,1617
2019-04-12,124,1380,57,151,1,1603
2019-04-13,199,1767,37,123,15,1075
2019-04-14,166,329,57,109,1,701
2019-04-15,69,477,22,71,9,418
2019-04-16,98,437,22,54,2,376
2019-04-17,129,522,20,77,0,358
2019-04-18,228,1123,44,168,13,639
2019-04-19,172,553,127,250,11,985
2019-04-20,109,446,81,321,12,788
2019-04-21,88,305,37,137,0,456
2019-04-22,50,243,39,107,4,191
2019-04-23,95,538,50,43,0,55
2019-04-24,150,429,87,54,4,204
2019-04-25,52,229,35,117,1,352
2019-04-26,47,211,53,118,2,262
2019-04-27,46,331,68,31,0,108
2019-04-28,106,387,28,14,0,73
2019-04-29,212,304,226,65,4,114
2019-04-30,138,168,85,45,2,90
2019-05-01,180,79,77,42,3,59
2019-05-02,75,63,69,41,0,59
2019-05-03,117,84,50,4,3,55
2019-05-04,100,28,43,13,6,22
2019-05-05,30,27,0,9,16,43
2019-05-06,13,24,38,49,12,30
2019-05-07,11,51,2,25,2,20
2019-05-09,14,331,0,15,3,43
2019-05-10,29,242,3,10,8,65
2019-05-11,21,80,0,16,2,32
2019-05-12,7,36,0,25,0,42
2019-05-13,4,21,0,16,0,18
2019-05-14,3,33,1,6,2,5
2019-05-15,13,68,0,22,3,20
2019-05-16,11,31,18,45,1,36
2019-05-17,10,16,8,111,0,47
2019-05-18,17,41,9,104,0,60
2019-05-19,20,75,23,140,1,136
2019-05-20,74,199,22,46,1,152
2019-05-21,11,79,22,14,3,17
2019-05-22,0,30,14,27,0,3
2019-05-23,1,11,4,21,0,3
2019-05-24,1,8,2,10,1,4
2019-05-25,15,7,4,7,3,7
2019-05-26,10,5,12,8,10,18
2019-05-27,5,12,6,32,7,11
2019-05-28,0,12,2,32,7,2
2019-05-29,0,9,0,2,1,1
2019-05-30,0,17,0,1,0,0
2019-05-31,3,16,2,12,3,0
2019-06-01,0,4,6,26,5,0
2019-06-02,1,4,3,26,0,3
2019-06-03,1,2,0,22,0,0
2019-06-04,4,0,3,8,0,0
2019-06-05,1,2,8,1,2,1
2019-06-06,5,0,1,10,0,0
2019-06-07,2,0,2,78,0,11
2019-06-08,0,0,2,66,0,0
2019-06-09,1,1,0,41,0,0
2019-06-10,1,4,0,4,5,1
2019-06-11,1,0,4,12,0,1
2019-06-12,4,0,7,24,0,4
2019-06-13,0,0,6,40,0,0
2019-06-14,0,0,0,10,0,0
2019-06-15,1,0,14,1,0,0
2019-06-16,1,0,2,0,2,0
2019-06-17,0,0,4,6,0,0
2019-06-18,0,0,0,14,0,0
2019-06-19,0,0,2,24,0,0
2019-06-20,0,0,6,16,3,0
2019-06-21,5,0,12,7,0,1
2019-06-22,12,1,13,24,0,9
2019-06-23,0,0,17,25,0,0
2019-06-24,0,0,1,14,0,0
2019-06-25,0,0,0,0,0,0
2019-06-26,1,0,10,6,0,0
2019-06-27,2,0,15,7,2,2
2019-06-28,0,1,4,23,1,3
2019-06-29,0,0,2,19,4,0
2019-06-30,3,0,0,3,0,1
2019-07-01,3,0,0,0,2,0
2019-07-02,1,0,0,1,8,0
2019-07-03,0,1,0,0,0,0
2019-07-04,0,0,0,11,2,0
2019-07-05,0,0,1,10,0,0
2019-07-06,4,0,0,7,2,0
2019-07-07,1,0,1,0,1,0
2019-07-08,1,0,4,5,6,0
2019-07-09,1,0,16,23,2,0
2019-07-10,0,0,6,23,0,0
2019-07-11,0,0,6,5,2,0
2019-07-12,2,0,29,11,7,0
2019-07-13,6,1,32,13,7,0
2019-07-14,0,0,16,25,2,0
2019-07-15,1,0,20,17,0,1
2019-07-16,0,0,20,17,0,3
2019-07-17,3,1,8,1,1,0
2019-07-18,8,1,16,0,2,0
2019-07-19,8,2,19,0,7,2
2019-07-20,2,0,3,16,2,2
2019-07-21,0,0,0,6,2,0
2019-07-22,1,0,1,5,0,0
2019-07-23,1,0,7,2,8,0
2019-07-24,4,0,9,14,3,0
2019-07-25,0,0,0,3,0,0
2019-07-26,0,0,3,6,0,0
2019-07-27,0,0,0,15,0,0
2019-07-28,2,0,2,2,9,0
2019-07-29,5,0,0,23,17,1
2019-07-30,2,0,16,3,7,0
2019-07-31,0,0,0,4,2,0
2019-08-01,0,0,0,0,9,0
2019-08-02,0,0,0,0,4,0
2019-08-03,1,0,0,0,8,0
2019-08-04,1,0,0,0,12,0
2019-08-05,0,0,0,4,3,0
2019-08-06,5,0,0,5,0,0
2019-08-07,0,0,0,2,1,0
2019-08-08,3,0,0,2,12,0
2019-08-09,0,0,2,2,0,0
2019-08-10,2,0,0,17,0,0
2019-08-11,0,0,0,17,0,0
2019-08-12,0,0,0,22,1,0
2019-08-13,0,0,0,8,6,0
2019-08-14,0,0,1,3,3,0
2019-08-15,1,0,1,7,0,0
2019-08-16,0,0,0,7,0,0
2019-08-17,0,1,0,9,0,0
2019-08-18,2,0,14,8,1,0
2019-08-19,5,0,27,11,7,0
2019-08-20,3,0,0,3,12,0
2019-08-21,0,0,19,2,2,0
2019-08-22,1,0,0,3,0,0
2019-08-23,0,0,0,1,0,0
2019-08-24,0,0,0,2,5,0
2019-08-25,4,1,4,0,0,0
2019-08-26,0,1,0,9,0,0
2019-08-27,0,0,0,36,0,0
2019-08-28,1,0,1,0,0,0
2019-08-29,0,1,0,0,1,0
2019-08-30,0,0,0,0,4,0
2019-08-31,0,1,0,1,0,0
2019-09-01,0,0,0,1,0,0
2019-09-02,0,0,0,0,3,0
2019-09-03,0,0,0,0,1,0
2019-09-04,0,0,0,0,3,0
2019-09-05,0,0,0,0,1,0
2019-09-06,4,0,0,15,5,0
2019-09-07,1,0,0,24,3,0
2019-09-08,3,0,0,15,3,1
2019-09-09,3,0,2,10,4,0
2019-09-10,1,0,0,5,3,0
2019-09-11,0,0,0,19,1,0
2019-09-12,0,0,5,27,3,0
2019-09-13,0,0,0,1,1,0
2019-09-14,2,0,0,0,1,1
2019-09-15,19,1,0,4,0,1
2019-09-16,9,1,0,20,3,3
2019-09-17,2,0,0,28,0,4
2019-09-18,2,1,0,5,0,0
2019-09-19,1,1,0,0,0,0
2019-09-20,4,1,0,0,3,0
2019-09-21,0,1,0,1,6,0
2019-09-22,0,0,0,13,2,0
2019-09-23,0,0,0,6,0,0
2019-09-24,0,0,0,3,1,0
2019-09-25,8,1,0,3,0,0
2019-09-26,27,1,0,1,0,1
2019-09-27,7,0,1,20,1,2
2019-09-28,0,1,0,18,0,0
2019-09-29,2,0,0,16,0,2
2019-09-30,16,5,0,10,0,0
2019-10-01,47,1,0,13,2,3
2019-10-02,11,0,5,58,0,4
2019-10-03,0,0,0,69,0,0
2019-10-04,0,0,0,33,0,0
2019-10-05,0,4,0,2,1,0
2019-10-06,14,0,0,7,0,0
2019-10-07,11,1,2,7,0,4
2019-10-08,0,1,0,31,0,1
2019-10-09,0,0,0,3,0,0
2019-10-10,2,0,0,0,0,0
2019-10-11,8,3,0,5,1,0
2019-10-12,10,1,1,9,3,0
2019-10-13,4,0,0,36,0,0
2019-10-14,1,0,0,0,0,0
2019-10-15,1,0,0,0,0,0
2019-10-16,3,5,0,0,1,1
2019-10-17,8,4,1,2,2,0
2019-10-18,4,2,3,0,0,4
2019-10-19,2,0,3,6,0,3
2019-10-20,0,3,1,0,0,2
2019-10-21,3,12,0,0,1,0
2019-10-22,24,8,1,2,0,1
2019-10-23,8,6,4,49,0,6
2019-10-24,3,0,0,92,0,3
2019-10-25,0,4,3,13,0,1
2019-10-26,1,21,0,2,0,0
2019-10-27,10,16,2,1,0,2
2019-10-28,12,16,4,4,0,3
2019-10-29,4,3,1,4,1,3
2019-10-30,0,4,0,9,0,5
2019-10-31,1,10,0,1,0,2
2019-11-01,0,55,0,0,0,0
2019-11-02,4,11,0,1,1,0
2019-11-03,2,11,0,1,0,0
2019-11-04,0,1,0,4,0,0
2019-11-05,0,0,0,3,0,0
2019-11-06,4,13,0,1,0,1
2019-11-07,14,5,0,2,1,0
2019-11-08,10,2,3,11,0,3
2019-11-09,2,0,2,23,0,0
2019-11-10,1,2,0,2,0,0
2019-11-11,1,13,0,3,0,0
2019-11-12,36,33,0,7,0,1
2019-11-13,8,15,0,22,1,1
2019-11-14,2,0,1,12,0,5
2019-11-15,0,2,4,3,0,0
2019-11-16,2,14,0,1,0,1
2019-11-17,33,33,0,10,0,2
2019-11-18,31,21,7,23,3,13
2019-11-19,18,5,10,36,1,7
2019-11-20,5,2,0,5,0,5
2019-11-21,7,12,1,0,0,3
2019-11-22,18,37,0,2,0,2
2019-11-23,63,20,4,8,0,13
2019-11-24,45,7,10,37,1,15
2019-11-25,28,1,13,40,0,10
2019-11-26,12,7,10,8,0,4
2019-11-27,11,29,0,3,0,3
2019-11-28,73,54,1,2,0,6
2019-11-29,101,13,11,16,0,9
2019-11-30,48,5,14,10,0,9
2019-12-01,3,6,0,0,0,0
2019-12-02,13,15,1,0,0,0
2019-12-03,61,36,4,9,0,3
2019-12-04,152,23,41,27,0,14
2019-12-05,129,9,47,43,1,29
2019-12-06,41,5,31,29,0,24
2019-12-07,25,16,22,13,0,10
2019-12-08,89,63,29,10,0,6
2019-12-09,169,46,63,22,3,17
2019-12-10,89,4,72,69,0,31
2019-12-11,40,6,48,58,0,9
2019-12-12,23,15,11,21,0,6
2019-12-13,53,42,10,14,0,3
2019-12-14,141,61,103,5,0,14
2019-12-15,135,19,187,14,0,29
2019-12-16,61,3,116,31,0,16
2019-12-17,21,14,46,15,0,12
2019-12-18,28,47,16,8,0,7
2019-12-19,62,53,16,5,0,7
2019-12-20,127,28,239,7,2,21
2019-12-21,87,21,353,19,0,23
2019-12-22,22,10,144,21,0,15
2019-12-23,46,33,51,23,1,8
2019-12-24,112,74,105,6,0,15
2019-12-25,197,56,260,29,3,36
2019-12-26,76,12,136,29,1,17
2019-12-27,66,6,320,35,1,15
2019-12-28,35,26,274,9,0,18
2019-12-29,66,56,226,4,1,12
2019-12-30,202,66,161,4,3,11
2019-12-31,145,46,620,24,2,34
2020-01-01,35,11,693,25,2,31
